scenario_name,entity,obstacle_id,x_nominal,y_nominal,velocity_nominal,orientation_nominal,ds,dx,dy,dv,x_new,y_new,orientation_new,velocity_new,trajectory_num_states,trajectory_start_time_step
vv_001,ego,,15.9923642,-21.86624793,11.9056,2.133392559981426,1.0958241942238534,-0.5844952071339922,0.9269282634430276,-0.06112156024794768,15.407868992866009,-20.939319666556973,2.133392559981426,11.844478439752052,,
vv_001,obstacle_20044,20044,-13.801503,18.76673,6.0,-1.005846,2.151587519468295,1.1518805361830644,-1.8172782075852076,0.2763152406831094,-12.649622463816936,16.94945179241479,-1.005846,6.276315240683109,151,0
vv_001,obstacle_20087,20087,-13.856,-10.595,4.1962,0.5587,-2.434935912674103,-2.107123274322044,-1.2202230966673326,0.6658712922914582,-15.963123274322044,-11.815223096667333,0.5587,4.862071292291459,151,0
vv_002,ego,,15.9923642,-21.86624793,11.9056,2.133392559981426,1.0445588079614119,-0.5571510619306768,0.8835642513305757,0.2860643052769538,15.435213138069324,-20.982683678669424,2.133392559981426,12.191664305276953,,
vv_002,obstacle_20044,20044,-13.801503,18.76673,6.0,-1.005846,-2.2313182039467248,-1.1945871179769583,1.8846067347931097,-0.06945968694620597,-14.996090117976959,20.65133673479311,-1.005846,5.930540313053794,151,0
vv_002,obstacle_20087,20087,-13.856,-10.595,4.1962,0.5587,-0.7752118546045126,-0.6708459688261836,-0.388483082809314,0.5974709843880426,-14.526845968826184,-10.983483082809315,0.5587,4.793670984388043,151,0
vv_003,ego,,15.9923642,-21.86624793,11.9056,2.133392559981426,0.5754604803226582,-0.30694146005519407,0.4867665767140892,0.32276161327083,15.685422739944807,-21.37948135328591,2.133392559981426,12.22836161327083,,
vv_003,obstacle_20044,20044,-13.801503,18.76673,6.0,-1.005846,-0.33951480703601344,-0.1817669994939628,0.28675958936304724,-0.38186578950131234,-13.983269999493963,19.053489589363046,-1.005846,5.618134210498687,151,0
vv_003,obstacle_20087,20087,-13.856,-10.595,4.1962,0.5587,0.3275087220950086,0.2845890039335792,0.1621812390046493,-0.6106558414541545,-13.57141099606642,-10.432818760995351,0.5587,3.5855441585458454,151,0
vv_004,ego,,15.9923642,-21.86624793,11.9056,2.133392559981426,1.3105246879703283,-0.6990130557533032,1.1085376366055684,0.13166439912206485,15.293351144246698,-20.75771029339443,2.133392559981426,12.037264399122064,,
vv_004,obstacle_20044,20044,-13.801503,18.76673,6.0,-1.005846,1.5485264405122425,0.8290318075135232,-1.3079145228339328,-0.20366364461818426,-12.972471192486477,17.458815477166066,-1.005846,5.796336355381816,151,0
vv_004,obstacle_20087,20087,-13.856,-10.595,4.1962,0.5587,2.824188146369419,2.4020241819714023,1.4848300639172152,0.5503695698510767,-11.453975818028598,-9.110169936082785,0.5587,4.746569569851077,151,0
vv_005,ego,,15.9923642,-21.86624793,11.9056,2.133392559981426,1.1135339882950475,-0.5939413309477075,0.9419085021114597,-0.3053612921480324,15.398422869052293,-20.92433942788854,2.133392559981426,11.600238707851968,,
vv_005,obstacle_20044,20044,-13.801503,18.76673,6.0,-1.005846,-0.19967397763779493,-0.10690002038231228,0.16864780753973463,-0.6386747278978797,-13.908403020382313,18.935377807539734,-1.005846,5.36132527210212,151,0
